Z/I:A/I:An[20]/D
#E_low_hi,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,
#E_low_hi_val,,0.01,0.079,,,0.079,0.501,,,0.501,3.162,,,3.162,12.589,,,12.589,25.044,,
#Z,A,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3
19,41,6.47783E-01,-1.45836E-01,7.88450E-02,5.84653E-03,6.56436E-01,-1.48911E-01,7.24319E-02,4.31845E-03,6.51719E-01,-1.63440E-01,5.35598E-02,-7.10902E-03,6.54493E-01,-1.71649E-01,6.38398E-02,-1.17388E-02,2.37878E-01,2.25866E-01,-5.79177E-02,0.00000E+00
20,43,6.65781E-01,-1.72623E-01,7.37940E-02,5.53635E-03,6.92505E-01,-1.56242E-01,7.44283E-02,4.86943E-03,6.87850E-01,-1.70751E-01,5.50816E-02,-7.13952E-03,6.90840E-01,-1.79738E-01,6.64138E-02,-1.22450E-02,2.55633E-01,2.35376E-01,-6.06767E-02,0.00000E+00
21,47,6.85726E-01,-1.97507E-01,6.89960E-02,5.23512E-03,7.28429E-01,-1.63368E-01,7.63967E-02,5.45560E-03,7.23838E-01,-1.78010E-01,5.64053E-02,-7.10180E-03,7.27457E-01,-1.68655E-01,6.94740E-02,-1.28867E-02,2.66984E-01,2.50143E-01,-6.46557E-02,0.00000E+00
22,48,7.07463E-01,-2.22200E-01,6.39931E-02,4.90527E-03,7.65300E-01,-1.71435E-01,7.74737E-02,5.86454E-03,7.61012E-01,-1.85309E-01,5.77228E-02,-7.07599E-03,7.64814E-01,-1.96674E-01,7.18050E-02,-1.33255E-02,2.90358E-01,2.55788E-01,-6.66518E-02,0.00000E+00
23,51,7.30086E-01,-2.44260E-01,5.94769E-02,4.59801E-03,8.01301E-01,-1.78447E-01,7.86892E-02,6.29788E-03,7.97149E-01,-1.91994E-01,5.88600E-02,-7.06519E-03,8.01329E-01,-2.04537E-01,7.43001E-02,-1.38647E-02,3.05935E-01,2.67582E-01,-7.00146E-02,0.00000E+00
24,53,7.55224E-01,-2.65045E-01,5.51222E-02,4.29752E-03,8.38067E-01,-1.85763E-01,7.96313E-02,6.70469E-03,8.34109E-01,-1.98781E-01,5.99163E-02,-7.02162E-03,8.38892E-01,-2.12844E-01,7.68744E-02,-1.43879E-02,3.26155E-01,2.76051E-01,-7.26918E-02,0.00000E+00
25,55,7.79474E-01,-2.86926E-01,5.02244E-02,3.93329E-03,8.74936E-01,-1.93203E-01,8.02973E-02,7.06306E-03,8.71242E-01,-2.05569E-01,6.08490E-02,-6.89497E-03,8.76401E-01,-2.20824E-01,7.92630E-02,-1.48830E-02,3.45947E-01,2.84938E-01,-7.54559E-02,0.00000E+00
26,56,8.07733E-01,-3.05219E-01,4.62216E-02,3.64358E-03,9.12345E-01,-2.00435E-01,8.08270E-02,7.40195E-03,9.08902E-01,-2.12115E-01,6.17010E-02,-6.80650E-03,9.14415E-01,-2.28439E-01,8.13577E-02,-1.53060E-02,3.70323E-01,2.90599E-01,-7.75490E-02,0.00000E+00
27,59,8.36951E-01,-3.22211E-01,4.24490E-02,3.36692E-03,9.49506E-01,-2.07638E-01,8.11370E-02,7.70046E-03,9.46343E-01,-2.18551E-01,6.24252E-02,-6.71986E-03,9.52475E-01,-2.36520E-01,8.37495E-02,-1.58381E-02,3.87304E-01,3.02221E-01,-8.09993E-02,0.00000E+00
28,61,8.67943E-01,-3.37832E-01,3.89319E-02,3.10485E-03,9.87094E-01,-2.14845E-01,8.12362E-02,7.96095E-03,9.84231E-01,-2.24880E-01,6.30789E-02,-6.63170E-03,9.90933E-01,-2.44372E-01,8.59366E-02,-1.63098E-02,4.08254E-01,3.10939E-01,-8.38209E-02,0.00000E+00
29,65,8.99887E-01,-3.52134E-01,3.56796E-02,2.85986E-03,1.02441E+00,-2.22011E-01,8.11535E-02,8.18652E-03,1.02187E+00,-2.31144E-01,6.35892E-02,-6.51349E-03,1.02972E+00,-2.53354E-01,8.88251E-02,-1.69645E-02,4.22011E-01,3.25490E-01,-8.79815E-02,0.00000E+00
30,67,9.33527E-01,-3.65260E-01,3.26622E-02,2.63021E-03,1.06225E+00,-2.29465E-01,8.06856E-02,8.33795E-03,1.06023E+00,-2.37277E-01,6.39842E-02,-6.34522E-03,1.06872E+00,-2.61177E-01,9.09344E-02,-1.74338E-02,4.44176E-01,3.33725E-01,-9.07781E-02,0.00000E+00
31,71,9.66695E-01,-3.78222E-01,2.96229E-02,2.39383E-03,1.10010E+00,-2.36197E-01,8.03635E-02,8.49202E-03,1.09829E+00,-2.43233E-01,6.43175E-02,-6.24272E-03,1.10771E+00,-2.69401E-01,9.33065E-02,-1.80055E-02,4.58813E-01,3.47987E-01,-9.49363E-02,0.00000E+00
32,72,1.00305E+00,-3.89149E-01,2.70674E-02,2.19554E-03,1.13883E+00,-2.43205E-01,7.98238E-02,8.62574E-03,1.13741E+00,-2.49127E-01,6.46176E-02,-6.09609E-03,1.14981E+00,-2.81373E-01,9.79340E-02,-1.89767E-02,4.73995E-01,3.60900E-01,-9.84000E-02,0.00000E+00
33,77,1.03942E+00,-3.99092E-01,2.47195E-02,2.01182E-03,1.17675E+00,-2.50139E-01,7.91531E-02,8.73124E-03,1.17569E+00,-2.55016E-01,6.47659E-02,-5.96719E-03,1.18927E+00,-2.90060E-01,1.00483E-01,-1.96049E-02,4.84545E-01,3.78572E-01,-1.03344E-01,0.00000E+00
34,78,9.99148E-01,-4.77056E-01,2.85271E-03,0.00000E+00,1.21598E+00,-2.56857E-01,7.84441E-02,8.82563E-03,1.21524E+00,-2.60752E-01,6.48755E-02,-5.79320E-03,1.22933E+00,-2.97220E-01,1.02078E-01,-1.99811E-02,5.18503E-01,3.78926E-01,-1.04723E-01,0.00000E+00
35,79,1.04506E+00,-4.79411E-01,2.56103E-03,0.00000E+00,1.25540E+00,-2.63631E-01,7.75493E-02,8.88008E-03,1.25506E+00,-2.66364E-01,6.49284E-02,-5.62822E-03,1.26202E+00,-2.90229E-01,9.53512E-02,-1.88039E-02,2.11559E+00,-1.26238E+00,4.66386E-01,-6.62851E-02
36,84,1.09023E+00,-4.81433E-01,2.31098E-03,0.00000E+00,1.29395E+00,-2.70353E-01,7.65429E-02,8.90988E-03,1.29397E+00,-2.72022E-01,6.48313E-02,-5.46592E-03,1.30197E+00,-2.98450E-01,9.75458E-02,-1.93843E-02,5.62700E-01,3.98566E-01,-1.11534E-01,0.00000E+00
37,88,1.13582E+00,-4.83235E-01,2.08709E-03,0.00000E+00,1.33286E+00,-2.77249E-01,7.52651E-02,8.87975E-03,1.33335E+00,-2.77590E-01,6.46673E-02,-5.28811E-03,1.34236E+00,-3.06529E-01,9.96202E-02,-1.99269E-02,5.82772E-01,4.09978E-01,-1.15361E-01,0.00000E+00
38,89,1.18268E+00,-4.84467E-01,1.81090E-03,0.00000E+00,1.37280E+00,-2.83276E-01,7.42520E-02,8.91532E-03,1.37357E+00,-2.82736E-01,6.44537E-02,-5.12035E-03,1.38843E+00,-3.22668E-01,1.06291E-01,-2.12491E-02,2.12205E+00,-1.17583E+00,4.38267E-01,-6.44806E-02
39,91,1.22933E+00,-4.85834E-01,1.64261E-03,0.00000E+00,1.41295E+00,-2.89689E-01,7.30304E-02,8.88832E-03,1.41405E+00,-2.88129E-01,6.41725E-02,-4.92954E-03,1.42979E+00,-3.30204E-01,1.07916E-01,-2.16720E-02,2.17692E+00,-1.19953E+00,4.46375E-01,-6.57748E-02
40,93,1.27622E+00,-4.87027E-01,1.49801E-03,0.00000E+00,1.45336E+00,-2.96033E-01,7.17475E-02,8.84546E-03,1.45485E+00,-2.93310E-01,6.39195E-02,-4.79276E-03,1.47130E+00,-3.37158E-01,1.09271E-01,-2.20705E-02,2.23453E+00,-1.22513E+00,4.54972E-01,-6.71157E-02
41,97,1.32267E+00,-4.88069E-01,1.37095E-03,0.00000E+00,1.49340E+00,-3.02309E-01,7.03873E-02,8.78238E-03,1.49518E+00,-2.98718E-01,6.34270E-02,-4.58042E-03,1.50632E+00,-3.33101E-01,1.03759E-01,-2.11706E-02,2.32278E+00,-1.28670E+00,4.77255E-01,-7.02398E-02
42,96,1.37080E+00,-4.89007E-01,1.25641E-03,0.00000E+00,1.53530E+00,-3.08429E-01,6.90049E-02,8.70824E-03,1.53741E+00,-3.03806E-01,6.30354E-02,-4.39188E-03,1.54888E+00,-3.39157E-01,1.04404E-01,-2.13687E-02,2.34744E+00,-1.27347E+00,4.71018E-01,-6.96260E-02
